"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1092","test_hotel_list","test","Mon Mar 16 17:18:06 UTC 2026","passed","Mon Mar 16 17:18:08 UTC 2026","TestHootel","test_hootel","",""
"A belépés tesztelése","1343","Hootel Login","test","Mon Mar 16 17:18:00 UTC 2026","broken","Mon Mar 16 17:18:01 UTC 2026","TestHootel","test_hootel","",""
