"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"A belépés tesztelése","1374","Hootel Login","test","Mon Mar 16 17:53:34 UTC 2026","passed","Mon Mar 16 17:53:36 UTC 2026","TestHootel","test_hootel","",""
"","1095","test_hotel_list","test","Mon Mar 16 17:53:37 UTC 2026","passed","Mon Mar 16 17:53:38 UTC 2026","TestHootel","test_hootel","",""
